ye,frm,cla,co,mshare,mshare_0,delta,cy,hp,hp_weight,size,pl,sp,ac,pr,nest_share,mshare_within,blp_inst_own_size,blp_inst_comp_size,blp_inst_own_hp_weight,blp_inst_comp_hp_weight,blp_inst_own_pl,blp_inst_comp_pl,p_elast_logit,p_elast_nestedlogit,frm_d1,frm_d2,frm_d3,frm_d4,frm_d5,frm_d6,frm_d7,frm_d8,frm_d9,frm_d10,frm_d11,frm_d12,frm_d13,frm_d14,frm_d15,frm_d16,frm_d17,frm_d18
91,2,4,18,.0014870092,.96551061,-6.4758902,1.596,.73000002,.67592597,.98181826,5,182,12.1,3.29,.0042755939,.34779009,1.16466,72.089493,.76124573,45.710827,5,360,-.0018477129,-.0010032678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,5,21,.0010112153,.96551061,-6.8615041,1.9910001,1.1,.76124567,1.16466,5,211,10.6,4.6399999,.0042997873,.23517798,.9818182,71.906654,.67592603,45.625507,5,360,-.0012571043,-.00068258028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,1,40,.000078332087,.96551061,-9.4194555,.847,.30000001,.46875003,.64811003,4,135,16.5,1.299,.0077315704,.010131459,1.7723211,72.149246,1.3056266,45.580799,9.5,357.5,-.000097470409,-.000052924308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,1,41,.000043998498,.96551061,-9.9962568,.986,.40000001,.58823532,.79997599,4.5,145,14,1.589,.0077315704,.0056907581,1.6204551,71.997383,1.1861413,45.461315,9,357,-.000054750217,-.000029728175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,3,42,.000027056763,.96551061,-10.482475,1.589,.66000003,.71739131,.97234499,5,175,10.8,1.999,.0091485372,.0029574961,1.4480861,71.825012,1.0569854,45.332157,8.5,356.5,-.000033669075,-.000018281575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,1,51,.00045053763,.96551061,-7.669971,.76999998,.25,.35714287,.7239089,5,125,23,.99900001,.0077315704,.058272459,10.822018,62.947952,7.2617998,39.847839,55,310,-.00056040561,-.00030428803,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,1,52,.00053472118,.96551061,-7.4986668,.99900001,.33000001,.44594598,.8174088,5,145,17,1.64,.0077315704,.069160745,10.728518,62.85445,7.1729965,39.759037,55,310,-.00066506211,-.00036111425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,1,113,.000076219054,.96551061,-9.4468012,1.108,.37,.4654088,.73200268,5,145,15.2,1.73,.0077315704,.0098581593,10.813925,62.939857,7.1535339,39.739574,55,310,-.000094841314,-.000051496765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,2,1,.000060765193,.96551061,-9.6733952,1.351,.66000003,.7021277,.88845187,5,176,10.3,2.1500001,.0090339333,.0067263274,10.657475,62.783409,6.9168148,39.502853,55,310,-.00007561285,-.00004105613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,2,53,.00031821706,.96551061,-8.0176783,1.372,.50999999,.53968251,.97277403,5,161,13,2,.0090339333,.035224643,10.573153,62.699085,7.0792603,39.665298,55,310,-.00039586978,-.00021494867,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,2,114,.000027431857,.96551061,-10.468707,1.585,.66000003,.66331661,.87076622,5,175,11,2.1199999,.0090339333,.0030365353,10.67516,62.801094,6.955626,39.541668,55,310,-.000034135825,-.000018535009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,3,2,.000016679171,.96551061,-10.966251,1.962,1.0700001,.92241383,1.006292,5,204,8.6999998,3.3299999,.0091485372,.0018231516,10.539635,62.665569,6.6965289,39.28257,55,310,-.000020755553,-.000011269814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,3,54,.00017564392,.96551061,-8.6119537,1.581,.56999999,.55072463,1.0666592,5,168,13.8,2.28,.0091485372,.019199125,10.479268,62.605202,7.0682182,39.654259,55,310,-.00021853647,-.00011866054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,3,115,.00010170043,.96551061,-9.1583805,1.995,.82999998,.70940167,1.0550539,5,195,10.8,3.29,.0091485372,.011116578,10.490873,62.616806,6.9095411,39.495583,55,310,-.00012654522,-.000068711292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,4,56,.000059252314,.96551061,-9.6986074,1.995,.85000002,.69672132,1.1375936,5,190,10.5,3.4300001,.0042755939,.013858265,10.408334,62.534267,6.9222212,39.508263,55,310,-.000073730414,-.00004003401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,5,3,.000032908229,.96551061,-10.28669,1.962,1.05,.87499994,1.122352,5,210,9.1999998,4,.0042997873,.0076534548,10.423575,62.549507,6.7439427,39.329983,55,310,-.000040950323,-.000022235132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,5,116,.000045486373,.96551061,-9.9629993,1.995,.85000002,.69105691,1.1526637,5,195,10.5,3.6500001,.0042997873,.01057875,10.393263,62.519196,6.927886,39.513927,55,310,-.000056601595,-.000030733434,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,1,70,.0012907977,.96551061,-6.6173968,1.118,.37,.47133759,.79783553,5,143,18.1,1.687,.0077315704,.16695155,4.1521311,69.469986,2.2237568,44.657494,20,345,-.0016042215,-.00087105733,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,2,71,.0013175919,.96551061,-6.5968513,1.299,.44,.48888889,.95127141,5,156,15.9,1.971,.0090339333,.1458492,3.9986949,69.316551,2.2062054,44.639942,20,345,-.0016374778,-.00088911474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,2,72,.00017666917,.96551061,-8.6061335,1.299,.44,.460733,.99724364,5,156,16.700001,2.168,.0090339333,.019556174,3.9527228,69.270576,2.2343614,44.668098,20,345,-.00021981187,-.00011935306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,3,73,.00095035008,.96551061,-6.9235821,1.598,.58999997,.56730765,1.020051,5,167,14.1,2.6040001,.0091485372,.10388,3.9299154,69.247772,2.1277866,44.561523,20,345,-.0011815111,-.00064153475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,4,74,.00029718681,.96551061,-8.086051,1.998,.88,.70682728,1.1835648,5,192,11.2,3.4690001,.0042755939,.069507726,3.7664018,69.084259,1.9882671,44.422001,20,345,-.00036971542,-.00020074741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,2,80,.00040980245,.96551061,-7.7647371,1.59,.91000003,1.0963856,.8926428,5,205,8.5,2.9990001,.0090339333,.045362573,3.3964636,70.036041,2.2099142,43.421238,15,350,-.00050975755,-.00027678724,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,3,82,.000045848963,.96551061,-9.95506,1.493,.66000003,.6947369,1.0408583,5,170,,2.299,.0091485372,.0050116167,3.2482481,69.887825,2.6115627,43.822887,15,350,-.000057052766,-.000030978408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,4,83,.00015985247,.96551061,-8.7061615,1.997,.66000003,.54098362,1.1038095,5,184,10.9,2.8989999,.0042755939,.037387196,3.185297,69.824867,2.765316,43.976639,15,350,-.00019889187,-.00010799395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,5,85,.000012590648,.96551061,-11.247458,3.2060001,1.51,.97419351,1.251796,5,223,8.1000004,6.9899998,.0042997873,.0029282025,3.0373104,69.676888,2.3321061,43.54343,15,350,-.000015667862,-8.5073070e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,11,1,121,.00014061015,.96551061,-8.8344212,1.324,.38999999,.53424656,.8087194,4,160,11.6,1.735,.0077315704,.018186493,1.9878781,71.612473,1.1974677,45.557961,10,357,-.00017495353,-.000094995958,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
